2023-06-11 08:00:58.816+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 12 of 20 :: Start
2023-06-11 08:00:58.843+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 12 of 20 100%
2023-06-11 08:00:58.843+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 12 of 20 :: Finished
2023-06-11 08:00:58.844+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 13 of 20 :: Start
2023-06-11 08:00:58.845+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 13 of 20 24%
2023-06-11 08:00:58.845+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 13 of 20 50%
2023-06-11 08:00:58.846+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 13 of 20 75%
2023-06-11 08:00:58.846+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 13 of 20 100%
2023-06-11 08:00:58.846+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 13 of 20 :: Finished
2023-06-11 08:00:58.847+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 13 of 20 :: Start
2023-06-11 08:00:58.847+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 13 of 20 100%
2023-06-11 08:00:58.847+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 13 of 20 :: Finished
2023-06-11 08:00:58.848+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 14 of 20 :: Start
